,Text,Time_Diff_seconds
3804,"[""I don't like"", 'dolls and k--']",2.268
3805,"[""You're not here.""]",2.068
3806,"[""You're with"", 'your trouble.']",2.035
3807,"['If you are with your trouble', 'when fighting happens--']",2.735
3808,['--More trouble for you.'],1.768
3809,['Just so.'],2.201
3810,"['How can you be', 'quick as a snake...']",2.701
3811,"['...Or as quiet', 'as a shadow...']",2.267
3812,"['...When you are', 'somewhere else?']",2.802
3813,"['You are fearing', 'for your father, hmm?']",2.135
3814,['That is right.'],2.335
3815,"['- Do you pray to the gods?', '- The old and the new.']",3.235
3816,['There is only one God'],2.669
3817,['and his name is Death.'],2.903
3818,"['And there is only one thing', 'we say to Death:']",3.002
3819,"['""Not today.""']",1.968
3820,['Rakh! Rakh! Rakh haj!'],2.335
3821,"['- Priestess: Khalakka Dothrae!', '- Rakh! Rakh! Rakh haj!']",2.569
3822,"['- Rakh! Rakh! Rakh haj!', '- Khalakka Dothrae!']",2.401
3823,"['She has to eat', 'the whole heart?']",2.067
3824,"[""I hope that wasn't"", 'my horse.']",1.867
3825,"[""She's doing well.""]",1.834
3826,"[""She'll never"", 'keep it down.']",2.001
3827,['Rakh! Rakh! Rakh haj!'],2.134
3828,['Khalakka Dothrae!'],2.501
3829,['Khalakka Dothrae!'],0.066
3830,"[""Tell me what she's saying.""]",1.901
3831,"['""The prince is riding.']",2.502
3832,"['I have heard the thunder', 'of his hooves.']",3.001
3833,['Swift as the wind he rides.'],2.401
3834,"['His enemies', 'will cower before him...']",2.869
3835,"['And their wives will', 'weep tears of blood.""']",3.503
3836,"[""She's going"", 'to have a boy.']",2.135
3837,"[""He won't be"", 'a real Targaryen.']",2.636
3838,"[""He won't be"", 'a true Dragon.']",2.402
3839,"['Vezh fin saja', 'rhaesheseres!']",2.969
3840,"['""The stallion', 'who mounts the world.""']",3.102
3841,"['The stallion is', 'the Khal of Khals.']",3.002
3842,"['He shall unite the people', 'into a single Khalasar.']",3.102
3843,"['All the people of the world', 'will be his herd.']",3.368
3844,['...Rhaesheseres!'],2.201
3845,['Rhaesheseres!'],2.168
3846,['Rhaego! Rhaego!'],2.501
3847,['Rhaego! Rhaego!'],2.135
3848,"['Rhaego!', 'Rhaego...']",2.768
3849,['They love her.'],2.601
3850,['Rhaego! Rhaego!'],1.233
3851,"['Rhaego!', 'Rhaego...']",2.735
3852,"['She truly is', 'a queen today.']",3.102
3853,"[""Don't let them see you"", 'carrying a sword in Vaes Dothrak.']",3.503
3854,['You know the law.'],2.134
3855,"[""It's not my law.""]",1.968
3856,"[""They don't belong to you.""]",1.969
3857,"['Whatever is hers', 'is also mine.']",2.402
3858,"['Once, perhaps.']",1.768
3859,"['If I sell one egg,', ""I'll have enough to buy a ship.""]",2.836
3860,"['Two eggs-- a ship', 'and an army.']",2.168
3861,"['- And you have all three.', '- I need a large army.']",3.302
3862,"[""I'm the last hope"", 'of a dynasty, Mormont.']",2.802
3863,"['The greatest dynasty', 'this world has ever seen']",2.135
3864,"['on my shoulders since', 'I was five years old--']",2.502
3865,"['and no one has ever given me', 'what they gave to her in that tent.']",3.002
3866,['Never.'],1.868
3867,['Not a piece of it.'],2.234
3868,"['How can I carry', 'what I need to carry without it?']",2.668
3869,['Hmm?'],1.701
3870,"['Who can rule without wealth', 'or fear or love?']",2.434
3871,"['Oh, you stand there,', 'all nobility and honor.']",3.905
3872,"[""You don't think I see you looking"", 'at my little sister, hmm?']",2.836
3873,"[""Don't think I know"", 'what you want?']",2.536
3874,"[""I don't care."", 'You can have her.']",2.903
3875,"['She can be Queen', 'of the savages and dine']",2.268
3876,"['on the finest', 'bloody horseparts,']",1.934
3877,"['and you can dine on whichever', 'parts of her you like.']",2.802
3878,['But let me go.'],2.335
3879,['You can go.'],1.501
3880,"[""You can't have the eggs.""]",1.834
3881,"['You swore', 'an oath to me.']",1.767
3882,"['Does loyalty', 'mean nothing to you?']",2.501
3883,['It means everything to me.'],2.168
3884,['And yet here you stand.'],2.001
3885,['And yet here I stand.'],2.101
3886,['Mord!'],2.602
3887,['Mord!'],2.234
3888,['Mord!'],1.868
3889,['Mord!'],2.034
3890,['Mord.'],1.801
3891,['Noise again!'],2.101
3892,"['- About the gold...', '- No gold!']",2.802
3893,"['- No gold.', '- Listen to me!']",2.435
3894,['Listen to me.'],2.068
3895,['Sometimes possession'],2.202
3896,['is an abstract concept--'],2.102
3897,"['When they captured me,', 'they took my purse,']",2.535
3898,"['but the gold', 'is still mine.']",1.968
3899,['Where?'],1.768
3900,"['Where?', ""I don't know where,""]",2.101
3901,['but when they free me--'],1.3
3902,['You want free?'],1.4
3903,['Go be free.'],2.335
3904,"['Have you ever', 'heard the phrase']",2.168
3905,"['""rich as a Lannister""?']",1.934
3906,['Of course you have!'],2.001
3907,"[""You're a smart man.""]",2.936
3908,"['You know who', 'the Lannisters are.']",2.836
3909,['I am a Lannister.'],2.968
3910,"['Tyrion, son of Tywin!']",3.669
3911,"['And of course,', 'you have also heard the phrase,']",4.071
3912,"['""a Lannister always', 'pays his debts.""']",3.336
3913,"['If you deliver', 'a message from me...']",2.568
3914,"['to Lady Arryn,', 'I will be in your debt.']",3.369
3915,['I will owe you gold.'],2.336
3916,"['If you deliver', 'the message']",2.134
3917,"['and I live, which I very much', 'intend to do.']",3.836
3918,['What message?'],1.801
3919,"['Tell her I wish', 'to confess my crimes.']",2.635
3920,"['You wish to confess', 'your crimes?']",3.035
3921,"['Yes, My Lady.']",1.634
3922,"['I do, My Lady.']",1.534
3923,"['The sky cells', 'always break them.']",3.336
3924,"['Speak, Imp.']",2.201
3925,"['Meet your gods', 'as an honest man.']",2.401
3926,"['Where do I begin,', 'my lords and ladies?']",3.637
3927,"[""I'm a vile man,""]",1.868
3928,['I confess it.'],1.901
3929,"['My crimes and sins', 'are beyond counting.']",3.002
3930,"['I have lied', 'and cheated...']",3.135
3931,['gambled and whored.'],2.135
3932,"[""I'm not particularly"", 'good at violence,']",1.968
3933,"[""but I'm good at convincing"", 'others to do violence for me.']",3.436
3934,"['You want specifics,', 'I suppose.']",2.134
3935,"['When I was seven', 'I saw a servant girl']",2.535
3936,['bathing in the river.'],1.968
3937,['I stole her robe.'],1.867
3938,"['She was forced to return', 'to the castle']",2.334
3939,['naked and in tears.'],2.0
3940,"['If I close my eyes,']",1.733
3941,['I can still see her tits bouncing.'],3.202
3942,"['When I was 10 I stuffed', ""my Uncle's boots with goatshit.""]",4.236
3943,"['When confronted', 'with my crime,']",2.401
3944,"['I blamed a squire.', 'Poor boy was flogged']",2.469
3945,['and I escaped justice.'],2.235
3946,['When I was 12'],1.768
3947,"['I milked my eel', 'into a pot of turtle stew.']",3.002
3948,['I flogged the one-eyed snake.'],3.036
3949,['I skinned my sausage.'],2.001
3950,['I made the bald man cry'],3.202
3951,"['into the turtle stew,']",2.001
3952,"['which I do believe', 'my sister ate.']",2.001
3953,['At least I hope she did.'],1.935
3954,"['Once I brought a jackass', 'and a honeycomb']",2.334
3955,"['- into a brothel--', '- Silence!']",2.167
3956,['What happened next?'],1.601
3957,"['What do you think', ""you're doing?""]",3.034
3958,['Confessing my crimes.'],1.934
3959,"['Lord Tyrion,', 'you are accused']",2.535
3960,"['of hiring a man to slay', 'my son Bran in his bed,']",3.47
3961,"['and of conspiring to murder', ""my sister's husband""]",2.803
3962,"['Lord Jon Arryn,', 'the Hand of the King.']",3.837
3963,"[""Oh, I'm very sorry.""]",2.335
3964,"[""I don't know anything"", 'about all that.']",1.935
3965,"[""You've had"", 'your little joke.']",2.235
3966,['I trust you enjoyed it.'],2.369
3967,"['Mord, take him back', 'to the dungeon.']",2.869
3968,"['But this time find', 'a smaller cell...']",2.334
3969,['With a steeper floor.'],2.101
3970,['Is this how justice'],2.768
3971,['is done in the Vale?'],1.868
3972,"['You accuse me', 'of crimes,']",2.568
3973,"['I deny them,', 'so you throw me into a cell']",3.168
3974,['to freeze and starve?'],1.868
3975,"['Where is', ""the King's Justice?""]",2.936
3976,"['I am accused', 'and demand a trial!']",3.37
3977,"[""If you're tried"", 'and found guilty,']",1.935
3978,"[""then by the King's own laws"", 'you will pay with your life.']",3.103
3979,['I understand the law.'],3.103
3980,"['We have no executioner', 'in the Eyrie.']",2.568
3981,['Life is more elegant here.'],2.802
3982,['Open the moon door.'],1.934
3983,"['You want a trial,', 'My Lord Lannister.']",2.969
3984,['Very well.'],2.001
3985,"['My son will listen', 'to whatever you have to say,']",2.968
3986,"['and you will hear', 'his judgment.']",2.267
3987,['Then you will leave...'],2.101
3988,"['By one door', 'or the other.']",2.134
3989,"['No need to bother', 'Lord Robin.']",3.202
3990,['I demand a trial by combat.'],3.636
3991,['You have that right.'],1.867
3992,"['My Lady, I beg the honor.']",1.901
3993,['Let me be your champion.'],1.968
3994,['The honor should be mine.'],2.401
3995,"['For the love I bore', 'your Lord husband,']",2.234
3996,['let me avenge his death.'],1.801
3997,"[""- I'll fight for you, My Lady."", ""- It'll be my honor.""]",2.535
3998,"['- The honor should be mine.', '- Make the bad man fly!']",3.335
3999,['Ser Vardis...'],2.702
4000,"[""You're quiet.""]",2.168
4001,"[""Don't you want"", 'to avenge my husband?']",1.9
4002,"['With all my heart,', 'My Lady.']",2.569
4003,"['But the Imp', 'is half my size.']",1.934
4004,"['It would be shameful to slaughter', 'such a man and call it justice.']",3.134
4005,['Agreed.'],2.068
4006,"['You demanded', 'a trial by combat.']",2.935
4007,"['Now I demand a champion.', 'I have that right, same as you.']",3.335
4008,"['My Lady,']",1.967
4009,"['I will gladly fight', ""the Imp's champion for you.""]",3.47
4010,"[""I wouldn't be"", 'too glad, Ser.']",2.502
4011,"['I name my brother', 'Jaime Lannister.']",2.502
4012,['The Kingslayer'],2.201
4013,"['is hundreds of miles', 'from here.']",1.967
4014,"['Send a raven for him.', ""I'm happy to wait.""]",2.602
4015,['The trial will be today.'],2.168
4016,['Do I have a volunteer?'],2.568
4017,['Anyone?'],2.568
4018,['Anyone?'],2.001
4019,"['I think we can assume', 'that no one is willing--']",2.301
4020,"[""I'll stand"", 'for the dwarf.']",2.035
4021,"['More wine, Your Grace?']",2.134
4022,"['- What was I saying?', '- Renly: Simpler time.']",2.535
4023,"['It was! It was.', ""You're too young to remember.""]",3.336
4024,"[""Wasn't it simpler, Selmy?""]",1.701
4025,"['- It was, Your Grace.', '- The enemy was right  in the open,']",3.469
4026,"['vicious as you like, all but', 'sending you a bloody invitation.']",4.203
4027,['Nothing like today.'],1.968
4028,"['- It sounds exhilarating.', '- Exhilarating, yes.']",2.868
4029,"['Not as exhilarating', 'as those balls']",2.368
4030,"['and masquerades', 'you like to throw.']",2.401
4031,"['You ever fuck', 'a Riverlands girl?']",2.467
4032,"['Once.', 'I think.']",1.634
4033,"['You think?', ""I think you'd remember.""]",3.803
4034,"['Back in our day,', ""you weren't a real man""]",2.935
4035,"[""until you'd fucked one girl"", 'from each of the Seven Kingdoms']",3.102
4036,['and the Riverlands.'],1.734
4037,"['- We used to call it ""making the eight.""', '- Those were some lucky girls.']",3.236
4038,"['You ever make', 'the eight, Barristan?']",2.035
4039,"[""I don't believe so,"", 'Your Grace.']",1.968
4040,['Those were the days.'],1.868
4041,"['Which days, exactly?']",1.768
4042,"['The ones where half of Westeros', 'fought the other half and millions died?']",3.503
4043,"['Or before that, when the Mad King', 'slaughtered women and babies']",3.236
4044,"['because the voices in his head', 'told him they deserved it?']",2.902
4045,"['Or way before that, when dragons', 'burned whole cities to the ground?']",3.369
4046,"['Easy, boy.']",2.168
4047,"['You might be my brother,', ""but you're speaking to the King.""]",2.968
4048,"['I suppose it was all', 'rather heroic...']",1.734
4049,"['If you were drunk enough', 'and had some poor Riverlands whore']",2.835
4050,"['to shove your prick inside', 'and make the eight.']",2.635
4051,"['More wine, Your Grace?']",1.868
4052,"['They burned most everything', 'in the Riverlands:']",3.836
4053,"['Our fields;', 'Our granaries;']",4.169
4054,['our homes.'],2.402
4055,"['They took our women,', ""then they took 'em again.""]",4.136
4056,"['When they was done,', 'they butchered them']",2.601
4057,['as if they was animals.'],1.801
4058,['They covered our children'],2.135
4059,['in pitch'],1.801
4060,['and lit them on fire.'],1.901
4061,"['Brigands, most likely.']",2.001
4062,"[""They weren't thieves.""]",2.369
4063,"[""They didn't steal"", 'nothing.']",2.602
4064,"['They even left something behind,', 'Your Grace.']",3.402
4065,"[""It's the King's Hand"", ""you're addressing, not the King.""]",3.402
4066,['The King is hunting.'],1.934
4067,"['Fish.', 'The Sigil of House Tully.']",4.237
4068,"[""Isn't that your wife's house--"", 'Tully, My Lord Hand?']",3.77
4069,"['These men,', 'were they flying a Sigil?']",3.436
4070,"['- A banner?', '- None, your--']",2.768
4071,['Hand.'],1.601
4072,"['The one who was', 'leading them...']",1.834
4073,"['Taller by a foot', ""than any man I've ever met,""]",3.503
4074,"['saw him cut', 'the blacksmith in two,']",3.336
4075,"['saw him take the head', 'off a horse']",2.401
4076,"['with a single swing', 'of his sword.']",2.502
4077,"['That sounds like', 'someone we know.']",2.535
4078,['The Mountain.'],2.102
4079,"[""You're describing"", 'Ser Gregor Clegane.']",3.069
4080,"['Why should Ser Gregor', 'turn brigand?']",2.969
4081,"['The man is', 'an anointed knight.']",2.167
4082,"[""I've heard him called"", ""Tywin Lannister's mad dog.""]",3.068
4083,"[""I'm sure you have"", 'as well.']",2.236
4084,"['Can you think', 'of any reason']",2.001
4085,"['the Lannisters', 'might possibly have']",1.801
4086,"['for being angry', 'with your wife?']",1.668
4087,"['Maester Pycelle:', 'If the Lannisters']",2.768
4088,"['were to order attacks', 'on villages']",2.301
4089,"[""under the King's"", 'protection,']",2.235
4090,"['- it would be--', '- That would be almost as brazen']",2.769
4091,"['as attacking the Hand of the King', 'in the streets of the capital.']",3.035
4092,['Well...'],2.402
4093,"['I cannot give you', 'back your homes']",2.368
4094,"['or restore', 'your dead to life,']",2.702
4095,"['but perhaps I can', 'give you justice']",1.967
4096,"['in the name of our King,', 'Robert.']",2.634
4097,['Lord Beric Dondarrion.'],3.335
4098,"['You shall have the command.', 'Assemble 100 men']",3.703
4099,"[""- and ride to Ser Gregor's keep."", '- As you command.']",3.703
4100,"['In the name of Robert', 'of the House Baratheon,']",3.136
4101,"['the first of his name,']",0.009
4102,"['King of the Andals and the first men,', 'Lord of the Seven Kingdoms']",3.87
4103,"['and protector of the realm,']",2.235
4104,"['I charge you to bring', ""the King's Justice""]",2.234
4105,"['to the false knight', 'Gregor Clegane']",2.035
4106,"['and all those', 'who shared in his crimes.']",2.468
4107,['I denounce him'],1.901
4108,['and attaint him.'],1.968
4109,"['I strip him of all', 'ranks and titles,']",3.302
4110,"['of all lands and holdings,']",3.668
4111,"['- and sentence him to death.', '- My Lord...']",3.369
4112,"['This-- this is', 'a drastic action.']",2.968
4113,"['It would be better to wait', ""for King Robert's return.""]",2.768
4114,"['- Grand Maester Pycelle.', '- My Lord.']",2.434
4115,"['Send a raven', 'to Casterly Rock.']",2.369
4116,"['Inform Tywin Lannister that', 'he has been summoned to court']",3.336
4117,"['to answer for the crimes', 'of his bannermen.']",2.067
4118,"['He will arrive within the fortnight', 'or be branded an enemy of the crown']",4.136
4119,"['and a traitor', 'to the realm.']",3.67
4120,"['A bold move, My Lord,', 'and admirable.']",2.869
4121,"['But is it wise', ""to yank the lion's tail?""]",2.535
4122,"['Tywin Lannister is the richest man', 'in all the Seven Kingdoms.']",3.502
4123,"['Gold wins wars,', 'not soldiers.']",2.869
4124,"['Then how come', 'Robert is King']",2.335
4125,['and not Tywin Lannister?'],2.302
4126,['Hold!'],3.603
4127,"['- Attack attack!', '- Come on, Ser Vardis!']",2.236
4128,['Attack!'],2.969
4129,"['Stand and fight, coward!']",2.568
4130,['Yes!'],2.635
4131,"['Enough, Ser Vardis! Finish him.']",3.67
4132,"['What are you doing?', 'Get up!']",2.768
4133,"['Get up, get up,', 'get up!']",3.068
4134,"['Raise your sword.', 'Raise it!']",2.202
4135,"['Get up, man!']",1.601
4136,"['- On your feet!', '- Get up!']",1.701
4137,"['Get up and fight,', 'Ser Vardis!']",2.635
4138,['No! Have mercy!'],2.835
4139,['Is it over?'],2.202
4140,"[""You don't fight"", 'with honor!']",3.002
4141,['No.'],1.834
4142,['He did.'],1.267
4143,"['Can I make', 'the little man fly now?']",1.867
4144,['Not this little man.'],1.934
4145,"['This little man', 'is going home.']",2.368
4146,"['I believe you have', 'something of mine.']",2.0
4147,"['A Lannister always', 'pays his debts.']",2.869
4148,"['You wear your hair like', 'a real southern lady now.']",0.066
4149,"[""Well, why shouldn't I?"", ""We're in the South.""]",3.135
4150,"[""It's important to remember where"", 'you come from.']",3.336
4151,"[""I'm not sure your mother would"", 'like these new styles.']",3.236
4152,"[""My mother isn't"", 'from the North.']",2.703
4153,"[""I'm aware of that.""]",1.834
4154,['Why do you care?'],1.801
4155,"['Do you even have hair', 'under there?']",1.668
4156,"['Yes.', 'I have hair.']",3.435
4157,"[""I've never seen it.""]",1.768
4158,['Would you like to?'],2.134
4159,['No.'],2.035
4160,"['Where are you from anyway?', 'The North or the South?']",2.668
4161,"['I come from a very', 'small village in--']",2.568
4162,"['Oh, wait.']",1.267
4163,"['I just realized', ""I don't care.""]",2.435
4164,"['- Sansa--', '- Septa.']",2.235
4165,['Now you are being rude.'],3.436
4166,['My prince.'],2.135
4167,['My prince.'],1.967
4168,['My Lady.'],1.6
4169,"['I fear I have', 'behaved monstrously']",2.334
4170,['the past few weeks.'],2.868
4171,['With your permission?'],2.101
4172,"[""It's beautiful,""]",2.668
4173,"['like the one', 'your mother wears.']",2.067
4174,"[""You'll be queen someday.""]",1.967
4175,"[""It's only fitting"", 'you should look the part.']",2.802
4176,"['Will you forgive me', 'for my rudeness?']",2.535
4177,"[""There's nothing to forgive.""]",2.936
4178,"[""You're My Lady.""]",2.702
4179,"[""One day we'll be married"", 'in the throne room.']",3.169
4180,"['Lords and ladies from all over', 'the Seven Kingdoms will come,']",3.936
4181,"['from the last hearth', 'in the North']",2.268
4182,"['to the Salt Shore', 'in the South,']",2.936
4183,"['and you will be Queen', 'over all of them.']",3.236
4184,"[""I'll never"", 'disrespect you again.']",2.434
4185,"[""I'll never be cruel"", 'to you again.']",3.202
4186,['Do you understand me?'],2.302
4187,"[""You're My Lady now,""]",2.235
4188,['from this day'],3.436
4189,['until my last day.'],2.769
4190,['Stop.'],2.101
4191,"['- Stop!', '- Whoa.']",2.568
4192,"['- What are you doing?', ""- Going to King's Landing.""]",2.534
4193,['In a turnip cart?'],2.101
4194,"[""I'll find a ship heading"", 'south in White Harbor.']",3.002
4195,['And you can afford that?'],1.801
4196,"['Some of my friends are more', 'generous than others.']",2.701
4197,"[""There's a thousand"", ""girls like you in King's Landing.""]",2.668
4198,"[""So I'll have"", 'lots of company.']",2.267
4199,"[""Yes, you'll be"", 'very popular...']",1.701
4200,"['Until some fat lord', 'comes to visit']",1.701
4201,"['with a big belly', 'and a little prick']",1.867
4202,"[""and he can't get it up"", 'so he knocks all your teeth out.']",2.502
4203,"['And what will happen', 'to me if I stay here?']",2.869
4204,"['Will I become', 'Lady Greyjoy,']",1.935
4205,"['- mistress of the Iron Islands?', ""- Don't be a fool.""]",3.07
4206,"['I hear Jaime Lannister', 'attacked Lord Stark']",2.134
4207,"['in the streets', ""of King's Landing.""]",1.767
4208,"['Every man for a hundred miles will be', 'marching off to war soon']",3.869
4209,"['and most of them', 'will never come back.']",1.967
4210,"[""There's nothing left"", 'for me here.']",2.001
4211,"[""Let's go, Stefon.""]",2.068
4212,['Giddyup.'],1.467
4213,"['Let me see it', 'one more time!']",2.268
4214,['See what?'],2.301
4215,"[""I'm going to miss you.""]",2.101
4216,['I know.'],1.867
4217,"[""I'm sending you both"", 'back to Winterfell.']",2.035
4218,"['- What?!', '- Listen--']",1.4
4219,"['- What about Joffrey?', '- Are you dying because of your leg?']",2.602
4220,"['Is that why', ""you're sending us home?""]",1.279
4221,['What? No.'],1.164
4222,"['Please, father.', ""Please don't.""]",1.434
4223,"[""You can't."", ""I've got my lessons with Syrio.""]",2.168
4224,"[""I'm finally"", 'getting good.']",1.601
4225,"[""This isn't"", 'a punishment.']",2.435
4226,"['I want you back in Winterfell', 'for your own safety.']",2.402
4227,"['Can we take Syrio', 'back with us?']",1.434
4228,"['Who cares about your', 'stupid dancing teacher?']",1.571
4229,"[""I can't go.""]",1.3
4230,"[""I'm supposed to marry"", 'Prince Joffrey.']",1.868
4231,"[""I love him and I'm meant"", 'to be his Queen']",1.902
4232,"['- and have his babies.', '- Seven hells.']",2.602
4233,"[""When you're old enough,""]",1.634
4234,"[""I'll make you a match"", ""with someone who's worthy of you,""]",2.702
4235,"[""someone who's brave"", 'and gentle and strong--']",2.668
4236,"[""I don't want someone brave"", 'and gentle and strong. I want him!']",3.27
4237,"[""He'll be the greatest"", 'King that ever was, a golden lion,']",2.769
4238,"[""and I'll give him"", 'sons with beautiful blond hair.']",2.768
4239,"[""The lion'sot"", 's Sigil, idiot.']",2.635
4240,"[""He's a stag,"", 'like his father.']",1.801
4241,"['He is not.', ""He's nothing like that old drunk King.""]",2.902
4242,"['Go on, girls. Get your Septa and start', 'packing your things.']",2.836
4243,"['- Wait!', '- Come on.']",1.502
4244,"[""But it's not fair!""]",1.634
4245,"['""Lord Orys Baratheon,', 'black of hair.""']",3.003
4246,"['""Axel Baratheon,', 'black of hair.""']",2.769
4247,"['""Lyonel Baratheon,', 'black of hair.""']",2.802
4248,"['""Steffon Baratheon,', 'black of hair.""']",2.768
4249,"['""Robert Baratheon,', 'black of hair.""']",2.601
4250,"['""Joffrey Baratheon...']",2.201
4251,"['Golden-haired.""']",2.101
4252,['Daenerys!'],1.902
4253,"[""Where's my sister?""]",1.934
4254,['Stop him.'],1.167
4255,['Where is she?'],1.534
4256,['Hmm?'],2.134
4257,"['Where is she?', ""I'm here for the feast.""]",2.768
4258,"[""- The whore's feast?"", '- Come.']",2.268
4259,['Get your hands off me!'],1.667
4260,"['No one touches', 'the Dragon!']",2.535
4261,['Khal rhae mhar!'],2.168
4262,['Me ifa!'],2.768
4263,['Khal Drogo!'],2.468
4264,"[""I'm here for the feast.""]",2.468
4265,['Nevakhi vekha ha maan.'],3.77
4266,"['Khal Drogo says', 'there is a place for you.']",2.368
4267,['Back there.'],2.201
4268,"['That is no place', 'for a King.']",2.235
4269,['You are no King.'],2.668
4270,['Keep away from me!'],2.167
4271,"['Viserys, please.']",2.001
4272,['There she is.'],1.901
4273,"['Put the sword down.', ""They'll kill us all.""]",2.834
4274,"[""They can't kill us.""]",2.635
4275,"[""They can't shed blood"", 'in their sacred city.']",2.702
4276,['But I can.'],1.434
4277,['I want what I came for.'],2.435
4278,"['I want the crown', 'he promised me.']",2.402
4279,['He bought you.'],1.901
4280,"['But he never', 'paid for you.']",2.134
4281,"['Tell him I want what was bargained', ""for or I'm taking you back.""]",3.069
4282,['He can keep the baby.'],2.602
4283,"[""I'll cut it out"", 'and leave it for him.']",2.301
4284,"['Anha vazhak maan', 'rek me zala.']",3.236
4285,"['Anha vazhak maan', 'firikhnharen hoshora']",3.336
4286,"['ma mahrazhi aqovi', 'affin mori atihi mae!']",2.735
4287,"[""What's he saying?""]",2.435
4288,['He says yes.'],1.734
4289,"['You shall have', 'a golden crown...']",2.901
4290,"['That men shall tremble', 'to behold.']",2.568
4291,['That was all I wanted.'],2.201
4292,['What-what was promised.'],2.135
4293,['Qora mae.'],1.967
4294,['No!'],2.034
4295,"['No!', 'You cannot touch me.']",2.702
4296,"['I am the Dragon.', 'I am the Dragon!']",2.335
4297,"['I want my crown!', 'Ahh!']",2.769
4298,['Ammeni haz jolin!'],3.169
4299,"['- Look away, Khaleesi.', '- No.']",2.302
4300,"['No, dany.']",2.368
4301,"['Dany, tell them.']",1.467
4302,['Make them!'],1.434
4303,"['Dany, make them...']",2.769
4304,"[""No, you can't!""]",2.101
4305,['Just-- please!'],3.136
4306,"['Dany, please!']",2.935
4307,['A crown for a King.'],2.502
4308,['Khaleesi?'],2.368
4309,['He was no Dragon.'],2.202
4310,['Fire cannot kill a Dragon.'],2.636
4311,"['www.addic7ed.com\n', '\n']",12.0
4312,"['Summoned to court to answer for\n', 'the crime of your bannerman,\n', '\n']",3.078
4313,"['Gregor Clegane, The Mountain.\n', '\n']",1.876
4314,"['Arrive within a fortnight\n', 'or be branded an enemy of the crown.\n', '\n']",4.096
4315,"['Poor Ned Stark. Brave man,\n', 'terrible judgement.\n', '\n']",3.989
4316,"['Attacking him was stupid.\n', '\n']",2.191
4317,"['Lannister...\n', '\n']",1.459
4318,"[""don't act like fools.\n"", '\n']",1.96
4319,"[""You're gonna say\n"", 'something clever?\n', '\n']",2.531
4320,"['Go on, say something clever.\n', '\n']",2.055
4321,"['Catelyn Stark took my brother.\n', '\n']",2.106
4322,"['Why is he still alive?\n', '\n']",1.612
4323,"['Tyrion?\n', '\n']",1.081
4324,"['Ned Stark.\n', '\n']",1.39
4325,"['One of our men interfered...\n', '\n']",1.905
4326,"['speared him through the leg,\n', 'before I could finish him.\n', '\n']",3.303
4327,"['Why is he still alive?\n', '\n']",1.878
4328,"[""It wouldn't have been clean.\n"", '\n']",2.114
4329,"['Clean?\n', '\n']",1.161
4330,"['You spent too much time\n', 'worrying about what other people think of you.\n', '\n']",3.778
4331,"['I could care less what\n', 'what anyone thinks of me.\n', '\n']",2.34
4332,"[""That's what you want people\n"", 'to think of you.\n', '\n']",2.734
4333,"[""It's the truth.\n"", '\n']",1.409
4334,"['And you hear them whispering ""Kingslayer""\n', ""behind your back, doesn't it bother you?\n"", '\n']",4.664
4335,"['Of course it bothers me.\n', '\n']",2.203
4336,"[""A lion doesn't concern himself\n"", 'with the opinion of a sheep.\n', '\n']",3.83
4337,"['I suppose I should be grateful\n', 'that your varity,\n', '\n']",2.346
4338,"['got in a way of your reckelessnes.\n', '\n']",2.644
4339,"[""I'm giving you half of our forces.\n"", '30.000 men.\n', '\n']",3.901
4340,"[""And we'll bring that to\n"", 'Catelyn Stark girlhood home...\n', '\n']",3.092
4341,"['and remind her that Lannisters\n', 'pay their debts\n', '\n']",3.901
4342,"[""I didn't realize you place such\n"", ""a high value on my brother's life.\n"", '\n']",3.572
4343,"[""He's a Lannister.\n"", '\n']",1.515
4344,"['Maybe the lowest of the Lannister,\n', ""but he's one of us.\n"", '\n']",3.314
4345,"['And everyday that he remain a prisoner\n', '\n']",2.373
4346,"['the less our name command respect.\n', '\n']",2.636
4347,"['- So the lion does concern himself with the opinion...\n', ""- No, that's not an opinion, it's a fact.\n"", '\n']",4.518
4348,"['If another house can seize\n', 'one of our own\n', '\n']",2.484
4349,"['and hold him captive, with impunity...\n', '\n']",2.306
4350,"['we are no longer house to be feared.\n', '\n']",2.633
4351,"['Your mother is dead.\n', '\n']",1.272
4352,"[""Before long I'll be dead.\n"", '\n']",2.066
4353,"['and you...\n', '\n']",1.157
4354,"['and your brother...\n', '\n']",1.024
4355,"['and your sister and all of her children...\n', '\n']",2.582
4356,"['all of us dead,\n', 'all of us rotting underground.\n', '\n']",4.202
4357,"['Is the family name\n', 'that lives on.\n', '\n']",2.645
4358,"[""It's all that lives on.\n"", '\n']",2.132
4359,"['Not your personal glory\n', 'not your honor... but family.\n', '\n']",4.397
4360,"['You understand?\n', '\n']",1.946
4361,"[""You're blessed with ability\n"", 'that few men possess.\n', '\n']",3.595
4362,"[""You're blessed you belong to\n"", 'the most powerful family in the kingdom.\n', '\n']",3.921
4363,"['And you still blessed\n', 'with youth.\n', '\n']",2.481
4364,"[""And what you've done\n"", 'with this blessing?\n', '\n']",2.497
4365,"['You served as the glorified bodyguard\n', 'for two kings..\n', '\n']",3.618
4366,"['One a mad man, the other are drunk.\n', '\n']",3.021
4367,"['The future of our family will be\n', 'determined in these next few months.\n', '\n']",3.867
